i,j,heuristic_i,heuristic_j,distance_struct,distance_perf
3201,4661,pop_9_op_e2_n1_251008_122237,pop_7_op_e2_n9_251023_194652,0.013115137,1.35502
2461,4552,pop_19_op_e1_n14_251009_102606,pop_6_op_e1_n16_251023_174530,0.014799032,0.79152
272,1580,pop_11_op_m2_n6_251005_151420,pop_9_op_m1_n0_251005_112005,0.0061979257,1.27888
2586,4151,pop_1_op_m1_n1_251007_215716,pop_1_op_e1_n14_251018_094429,0.010563922,0.454
1201,3792,pop_4_op_m1_n6_251005_023233,pop_15_op_e2_n6_251024_083105,0.014029934,0.26749003
3120,3315,pop_8_op_e2_n18_251008_102531,pop_0_op_i1_n4_251016_195425,0.015048841,0.13878012
4277,4582,pop_2_op_m1_n1_251020_162331,pop_6_op_e2_n7_251023_180930,0.030655183,0.67276
21,2247,pop_0_op_e2_n10_251004_192837,pop_16_op_e2_n1_251009_044302,0.024487218,0.15675998
3316,4494,pop_0_op_i1_n5_251016_142943,pop_5_op_e2_n17_251023_163527,0.003356412,0.32989
999,2039,pop_2_op_e1_n1_251004_221213,pop_13_op_m2_n12_251008_233431,0.014026668,0.65063
2339,4236,pop_17_op_m1_n12_251009_071749,pop_2_op_e1_n19_251019_195005,0.013670995,0.3717599
580,1253,pop_15_op_m2_n14_251005_231357,pop_5_op_e2_n17_251005_035236,0.006315491,0.39724004
701,1234,pop_17_op_e2_n17_251006_015345,pop_5_op_e1_n18_251005_032637,0.00985221,0.0
470,3411,pop_14_op_e2_n5_251005_203509,pop_10_op_m1_n17_251024_010057,0.01982132,1.1946
2342,3410,pop_17_op_m1_n15_251009_071749,pop_10_op_m1_n16_251024_010057,0.017243985,1.4586099
1130,2474,pop_3_op_m2_n13_251005_011247,pop_19_op_e1_n8_251009_102606,0.023935068,0.60300994
1540,2349,pop_8_op_m2_n9_251005_100047,pop_17_op_m1_n3_251009_071749,0.011211996,0.84581995
3631,4064,pop_13_op_e2_n1_251024_052024,pop_18_op_m2_n5_251024_140109,0.00089193095,0.10799003
1749,4693,pop_10_op_e1_n3_251008_135036,pop_7_op_m2_n1_251023_203511,0.015607273,0.0
708,2491,pop_17_op_e2_n5_251006_015345,pop_19_op_e2_n5_251009_105744,0.020212933,0.20639992
101,755,pop_0_op_m2_n12_251004_200931,pop_18_op_e1_n11_251006_031442,0.018435571,0.09720993
1101,1590,pop_3_op_e2_n5_251005_002228,pop_9_op_m1_n19_251005_112005,0.015847439,0.0
2409,4443,pop_18_op_e2_n3_251009_085040,pop_4_op_m1_n7_251023_152118,0.027776906,0.9116
503,2665,pop_14_op_m2_n17_251005_212934,pop_2_op_m1_n2_251007_234356,0.017394252,0.98497
1113,4832,pop_3_op_m1_n16_251005_004701,pop_9_op_m1_n4_251023_232311,0.029151734,0.8837601
984,1045,pop_1_op_m2_n6_251004_214556,pop_2_op_m1_n9_251004_230449,0.007316622,0.05195999
1707,4726,pop_0_op_m1_n1_251007_201332,pop_8_op_e2_n14_251023_212218,0.03951795,0.38245988
792,1946,pop_18_op_m1_n11_251006_040930,pop_12_op_m1_n19_251008_195611,0.004567829,0.08940005
1935,4270,pop_12_op_e2_n9_251008_192557,pop_2_op_m1_n13_251020_162331,0.008074366,0.2622199
2678,2736,pop_2_op_m2_n14_251008_001242,pop_3_op_m1_n14_251008_013345,0.02431396,0.45476997
2458,3925,pop_19_op_e1_n11_251009_102606,pop_17_op_e1_n19_251024_111623,0.011898278,0.25637
1788,4559,pop_10_op_m1_n2_251008_154720,pop_6_op_e1_n4_251023_174530,0.0077912207,0.21333003
3361,3748,pop_0_op_m2_n5_251018_025242,pop_14_op_m2_n18_251024_074310,0.034080196,1.42538
