app_type,group_id,objective_bin,main_heuristic_id,main_strategy,main_objective,main_obj_rank,main_obj_percentile,main_is_good_top10pct,neighbor_rank,neighbor_heuristic_id,neighbor_strategy,neighbor_objective,ast_cosine_sim,neighbor_obj_diff,neighbor_is_better_than_main
bin_greedy,7,low,pop_17_op_e1_n2_251224_183126,e1,0.03984,1422,0.31991,False,3,pop_17_op_e2_n4_251224_183600,e2,1.00966,0.9993033019643484,0.96982,False
bin_greedy,7,low,pop_17_op_e1_n2_251224_183126,e1,0.03984,1422,0.31991,False,4,pop_14_op_m1_n4_251224_174534,m1,0.14468,0.999290421934705,0.10484,False
bin_greedy,7,low,pop_17_op_e1_n2_251224_183126,e1,0.03984,1422,0.31991,False,5,pop_11_op_m2_n15_251224_170039,m2,0.04075,0.999290421934705,0.0009100000000000011,False
bin_greedy,8,high,pop_0_op_i1_n12_251225_020644,i1,1.51534,4279,0.962655,False,1,pop_0_op_i1_n11_251224_192433,i1,0.03984,0.9951341380101794,-1.4754999999999998,True
bin_greedy,8,high,pop_0_op_i1_n12_251225_020644,i1,1.51534,4279,0.962655,False,2,pop_1_op_m1_n7_251224_194832,m1,0.03984,0.991521782819117,-1.4754999999999998,True
bin_greedy,8,high,pop_0_op_i1_n12_251225_020644,i1,1.51534,4279,0.962655,False,3,pop_1_op_e2_n19_251224_194452,e2,0.06258,0.9909033354257432,-1.4527599999999998,True
bin_greedy,8,high,pop_0_op_i1_n12_251225_020644,i1,1.51534,4279,0.962655,False,4,pop_0_op_i1_n15_251224_192433,i1,0.03984,0.9908664908313443,-1.4754999999999998,True
bin_greedy,8,high,pop_0_op_i1_n12_251225_020644,i1,1.51534,4279,0.962655,False,5,pop_0_op_e1_n12_251224_134701,e1,0.05815,0.990788137300376,-1.45719,True
bin_greedy,9,low,pop_19_op_m2_n16_251225_020114,m2,0.01006,153,0.034421,True,1,pop_4_op_e2_n2_251224_203033,e2,0.33927,0.9992616004118735,0.32921,False
bin_greedy,9,low,pop_19_op_m2_n16_251225_020114,m2,0.01006,153,0.034421,True,2,pop_9_op_e1_n18_251224_220604,e1,0.03974,0.9990758000711736,0.029679999999999998,False
bin_greedy,9,low,pop_19_op_m2_n16_251225_020114,m2,0.01006,153,0.034421,True,3,pop_19_op_m1_n19_251225_015609,m1,0.04115,0.9989771459059228,0.03109,False
bin_greedy,9,low,pop_19_op_m2_n16_251225_020114,m2,0.01006,153,0.034421,True,4,pop_8_op_e1_n14_251224_214409,e1,0.04286,0.9989410742248064,0.0328,False
bin_greedy,9,low,pop_19_op_m2_n16_251225_020114,m2,0.01006,153,0.034421,True,5,pop_15_op_m1_n13_251225_002824,m1,0.13814,0.9985179918629925,0.12808000000000003,False
bin_greedy,10,high,pop_1_op_m1_n17_251225_023309,m1,0.30033,3037,0.68324,False,1,pop_16_op_e2_n4_251225_070340,e2,0.03984,0.9983398280668537,-0.26049,True
bin_greedy,10,high,pop_1_op_m1_n17_251225_023309,m1,0.30033,3037,0.68324,False,2,pop_13_op_e1_n4_251225_055930,e1,1.17416,0.9982702032419616,0.8738300000000001,False
