app_type,group_id,objective_bin,main_heuristic_id,main_strategy,main_objective,main_obj_rank,main_obj_percentile,main_is_good_top10pct,neighbor_rank,neighbor_heuristic_id,neighbor_strategy,neighbor_objective,ast_cosine_sim,neighbor_obj_diff,neighbor_is_better_than_main,cb_d_sim,codebleu_score,cb_d_perf
bin_greedy,5,mid,pop_3_op_m2_n9_251224_202201,m2,0.21431,2942,0.661867,False,3,pop_9_op_m2_n14_251225_045729,m2,1.51534,0.996345382045583,1.30103,False,0.702925214753779,0.297074785246221,1.30103
bin_greedy,5,mid,pop_3_op_m2_n9_251224_202201,m2,0.21431,2942,0.661867,False,4,pop_2_op_e2_n5_251224_195847,e2,0.31412,0.9963418007309448,0.09981,False,0.6787900698338399,0.32120993016616006,0.09981000000000001
bin_greedy,5,mid,pop_3_op_m2_n9_251224_202201,m2,0.21431,2942,0.661867,False,5,pop_1_op_m1_n17_251224_194832,m1,0.86508,0.9963175745290136,0.65077,False,0.7381823986492864,0.26181760135071364,0.65077
bin_greedy,6,mid,pop_0_op_i1_n13_251224_192433,i1,0.14418,2840,0.63892,False,1,pop_0_op_e2_n4_251224_134950,e2,1.51534,0.9984234698571468,1.37116,False,0.5948026496292597,0.40519735037074034,1.37116
bin_greedy,6,mid,pop_0_op_i1_n13_251224_192433,i1,0.14418,2840,0.63892,False,2,pop_0_op_i1_n7_251225_020644,i1,1.51534,0.9970052234485156,1.37116,False,0.5852200720189199,0.4147799279810801,1.37116
bin_greedy,6,mid,pop_0_op_i1_n13_251224_192433,i1,0.14418,2840,0.63892,False,3,pop_0_op_i1_n2_251224_134528,i1,1.51534,0.9968226584494326,1.37116,False,0.5905271799025467,0.40947282009745334,1.37116
bin_greedy,6,mid,pop_0_op_i1_n13_251224_192433,i1,0.14418,2840,0.63892,False,4,pop_0_op_m2_n14_251224_135519,m2,1.51534,0.9967938723001094,1.37116,False,0.5839618490782768,0.41603815092172325,1.37116
bin_greedy,6,mid,pop_0_op_i1_n13_251224_192433,i1,0.14418,2840,0.63892,False,5,pop_0_op_e1_n4_251224_134701,e1,0.14056,0.99644316996874,-0.00362,True,0.5816476706677737,0.4183523293322263,0.003620000000000012
bin_greedy,7,low,pop_17_op_e1_n2_251224_183126,e1,0.03984,1422,0.31991,False,1,pop_19_op_e1_n5_251224_190503,e1,1.14297,0.9996174446416444,1.10313,False,0.5169407861036145,0.4830592138963855,1.10313
bin_greedy,7,low,pop_17_op_e1_n2_251224_183126,e1,0.03984,1422,0.31991,False,2,pop_14_op_m2_n9_251224_174931,m2,0.50538,0.999327153035904,0.46554,False,0.5246295583081301,0.4753704416918699,0.46554000000000006
bin_greedy,7,low,pop_17_op_e1_n2_251224_183126,e1,0.03984,1422,0.31991,False,3,pop_17_op_e2_n4_251224_183600,e2,1.00966,0.9993033019643484,0.96982,False,0.41367331108188543,0.5863266889181146,0.96982
bin_greedy,7,low,pop_17_op_e1_n2_251224_183126,e1,0.03984,1422,0.31991,False,4,pop_14_op_m1_n4_251224_174534,m1,0.14468,0.999290421934705,0.10484,False,0.5320570318528683,0.46794296814713165,0.10484
bin_greedy,7,low,pop_17_op_e1_n2_251224_183126,e1,0.03984,1422,0.31991,False,5,pop_11_op_m2_n15_251224_170039,m2,0.04075,0.999290421934705,0.00091,False,0.5103112088574352,0.4896887911425648,0.0009100000000000011
bin_greedy,8,high,pop_0_op_i1_n12_251225_020644,i1,1.51534,4279,0.962655,False,1,pop_0_op_i1_n11_251224_192433,i1,0.03984,0.9951341380101794,-1.4754999999999998,True,0.6301083909042187,0.36989160909578134,1.4754999999999998
