i,j,heuristic_i,heuristic_j,distance_struct,distance_perf
143,1543,pop_10_op_e2_n3_251227_001656,pop_9_op_m2_n14_251226_223416,0.48444712,405521.25
863,988,pop_19_op_m2_n15_251228_083956,pop_2_op_m1_n0_251225_230458,0.60994804,161573.25
862,1382,pop_19_op_m2_n14_251228_083956,pop_7_op_m2_n0_251226_154343,0.7055323,277331.25
99,1233,pop_0_op_m2_n18_251225_175347,pop_5_op_m2_n10_251226_091303,0.5939384,167698.75
754,1336,pop_18_op_e2_n17_251228_033156,pop_7_op_e1_n2_251226_131453,0.73608863,89206.5
413,1288,pop_13_op_m2_n18_251227_121005,pop_6_op_e2_n8_251226_105034,0.55193037,301325.5
430,824,pop_14_op_e1_n15_251227_125901,pop_19_op_e2_n14_251228_065631,0.58498293,271760.0
983,1128,pop_2_op_e2_n5_251225_221616,pop_4_op_e2_n17_251226_042834,0.6739545,86568.0
257,1062,pop_11_op_m2_n19_251227_051511,pop_3_op_e2_n9_251226_012408,0.7197715,79437.25
264,1180,pop_11_op_m2_n7_251227_051511,pop_5_op_e1_n13_251226_064644,0.621036,378923.5
1090,1460,pop_3_op_m2_n16_251226_025640,pop_8_op_m1_n9_251226_182024,0.59922606,435897.0
443,551,pop_14_op_e1_n9_251227_125901,pop_15_op_m1_n4_251227_180037,0.5964397,479705.75
105,1276,pop_0_op_m2_n5_251225_175347,pop_6_op_e2_n15_251226_105034,0.77364415,67610.5
485,1511,pop_14_op_m2_n13_251227_152817,pop_9_op_e2_n2_251226_205529,0.6614227,442559.75
98,693,pop_0_op_m2_n17_251225_175347,pop_17_op_m1_n13_251228_005726,0.509682,88902.25
1390,1551,pop_7_op_m2_n17_251226_154343,pop_9_op_m2_n4_251226_223416,0.26122445,179095.25
916,1055,pop_1_op_m1_n13_251225_200231,pop_3_op_e2_n2_251226_012408,0.84921855,222633.75
334,1211,pop_12_op_m2_n17_251227_083811,pop_5_op_e2_n8_251226_073535,0.55246633,215937.0
0,1183,pop_0_op_e1_n0_251225_153652,pop_5_op_e1_n16_251226_064644,0.87302583,92595.5
201,303,pop_11_op_e1_n3_251227_024432,pop_12_op_e2_n7_251227_065610,0.51789993,294982.75
264,566,pop_11_op_m2_n7_251227_051511,pop_15_op_m2_n18_251227_185242,0.42816195,139284.0
726,1441,pop_17_op_m2_n9_251228_014656,pop_8_op_m1_n0_251226_182024,0.54403245,281212.5
275,775,pop_12_op_e1_n17_251227_060501,pop_18_op_m1_n2_251228_041951,0.7083085,403156.0
68,252,pop_0_op_i1_n8_251225_145628,pop_11_op_m2_n14_251227_051511,0.6021093,307111.25
851,1304,pop_19_op_m1_n4_251228_074716,pop_6_op_m1_n6_251226_113847,0.43717617,13572.25
240,1369,pop_11_op_m1_n3_251227_042439,pop_7_op_m1_n16_251226_145231,0.69580173,27752.0
325,1157,pop_12_op_m1_n9_251227_074705,pop_4_op_m1_n9_251226_051356,0.49703157,234767.0
1012,1063,pop_2_op_m2_n14_251225_235254,pop_3_op_m1_n0_251226_020829,0.7399325,20737.0
832,1436,pop_19_op_e2_n4_251228_065631,pop_8_op_e2_n5_251226_172614,0.55281466,24834.0
898,1159,pop_1_op_e2_n10_251225_192420,pop_4_op_m2_n10_251226_055944,0.7341639,275447.75
484,570,pop_14_op_m2_n12_251227_152817,pop_15_op_m2_n3_251227_185242,0.36216325,36315.25
1169,1506,pop_4_op_m2_n1_251226_055944,pop_9_op_e2_n16_251226_205529,0.45285475,324861.25
639,1371,pop_16_op_m2_n14_251227_221945,pop_7_op_m1_n18_251226_145231,0.40417606,18991.25
507,1130,pop_15_op_e1_n15_251227_162003,pop_4_op_e2_n19_251226_042834,0.6199337,304168.75
1406,1409,pop_8_op_e1_n13_251226_163555,pop_8_op_e1_n16_251226_163555,0.7520161,315205.75
172,576,pop_10_op_m2_n13_251227_015504,pop_15_op_m2_n9_251227_185242,0.31851837,24427.75
118,1023,pop_10_op_e1_n17_251226_232328,pop_2_op_m2_n6_251225_235254,0.5337604,7223.75
731,1556,pop_18_op_e1_n13_251228_023855,pop_9_op_m2_n9_251226_223416,0.52950007,327047.75
834,1238,pop_19_op_e2_n6_251228_065631,pop_5_op_m2_n15_251226_091303,0.6579248,166631.75
295,1466,pop_12_op_e2_n17_251227_065610,pop_8_op_m2_n14_251226_191044,0.4940133,111827.5
542,720,pop_15_op_m1_n14_251227_180037,pop_17_op_m2_n3_251228_014656,0.6662787,148637.0
202,1395,pop_11_op_e1_n4_251227_024432,pop_7_op_m2_n3_251226_154343,0.5881609,193067.0
1068,1461,pop_3_op_m1_n14_251226_020829,pop_8_op_m2_n0_251226_191044,0.54944885,149846.25
740,968,pop_18_op_e1_n4_251228_023855,pop_2_op_e1_n9_251225_213311,0.7513513,48578.0
514,1097,pop_15_op_e1_n4_251227_162003,pop_3_op_m2_n4_251226_025640,0.79182315,253496.5
353,813,pop_13_op_e1_n17_251227_092959,pop_19_op_e1_n3_251228_060424,0.6349861,432670.0
493,878,pop_14_op_m2_n2_251227_152817,pop_1_op_e1_n10_251225_183903,0.6910197,515772.75
834,1042,pop_19_op_e2_n6_251228_065631,pop_3_op_e1_n7_251226_003906,0.6802101,26585.5
1464,1498,pop_8_op_m2_n12_251226_191044,pop_9_op_e1_n8_251226_200158,0.5073209,491576.75
23,680,pop_0_op_e2_n15_251225_162047,pop_17_op_e2_n19_251228_000153,0.68264824,381072.0
250,319,pop_11_op_m2_n12_251227_051511,pop_12_op_m1_n3_251227_074705,0.37493303,66157.0
777,1296,pop_18_op_m1_n4_251228_041951,pop_6_op_m1_n16_251226_113847,0.6002869,303856.25
528,980,pop_15_op_e2_n18_251227_171036,pop_2_op_e2_n2_251225_221616,0.6572413,18119.0
971,1090,pop_2_op_e2_n11_251225_221616,pop_3_op_m2_n16_251226_025640,0.7212827,224356.0
151,561,pop_10_op_m1_n11_251227_010748,pop_15_op_m2_n13_251227_185242,0.78526425,72674.5
486,1025,pop_14_op_m2_n14_251227_152817,pop_2_op_m2_n8_251225_235254,0.4901234,130599.5
165,1195,pop_10_op_m1_n7_251227_010748,pop_5_op_e2_n10_251226_073535,0.656336,251298.0
517,1295,pop_15_op_e1_n7_251227_162003,pop_6_op_m1_n15_251226_113847,0.68104196,463408.25
677,1078,pop_17_op_e2_n16_251228_000153,pop_3_op_m1_n5_251226_020829,0.7644797,64225.0
733,1253,pop_18_op_e1_n15_251228_023855,pop_6_op_e1_n11_251226_100202,0.786201,243420.5
1111,1310,pop_4_op_e1_n18_251226_034419,pop_6_op_m2_n11_251226_122703,0.7150833,120333.75
603,990,pop_16_op_e2_n18_251227_203430,pop_2_op_m1_n11_251225_230458,0.59368145,17395.0
511,1398,pop_15_op_e1_n19_251227_162003,pop_7_op_m2_n6_251226_154343,0.5408728,154159.75
448,666,pop_14_op_e2_n14_251227_135021,pop_17_op_e1_n6_251227_231256,0.7772972,71803.75
372,1502,pop_13_op_e2_n16_251227_102305,pop_9_op_e2_n11_251226_205529,0.7531855,309004.5
1062,1498,pop_3_op_e2_n9_251226_012408,pop_9_op_e1_n8_251226_200158,0.7478831,22522.25
55,991,pop_0_op_i1_n2_251225_141156,pop_2_op_m1_n12_251225_230458,0.85038173,454898.25
217,1098,pop_11_op_e2_n18_251227_033505,pop_3_op_m2_n5_251226_025640,0.83150923,205373.75
764,1296,pop_18_op_m1_n0_251228_041951,pop_6_op_m1_n16_251226_113847,0.6215662,255205.75
1,311,pop_0_op_e1_n11_251225_153652,pop_12_op_m1_n14_251227_074705,0.6697002,36647.0
987,1253,pop_2_op_e2_n9_251225_221616,pop_6_op_e1_n11_251226_100202,0.66531646,427995.75
11,36,pop_0_op_e1_n3_251225_153652,pop_0_op_i1_n0_251225_141156,0.73070467,158015.0
496,1240,pop_14_op_m2_n5_251227_152817,pop_5_op_m2_n17_251226_091303,0.44587505,126873.5
1074,1225,pop_3_op_m1_n1_251226_020829,pop_5_op_m1_n3_251226_082330,0.49007663,240035.0
1215,1265,pop_5_op_m1_n11_251226_082330,pop_6_op_e1_n4_251226_100202,0.74635744,168813.0
642,1035,pop_16_op_m2_n17_251227_221945,pop_3_op_e1_n19_251226_003906,0.7144637,336657.75
734,1259,pop_18_op_e1_n16_251228_023855,pop_6_op_e1_n17_251226_100202,0.49180704,266372.5
1097,1307,pop_3_op_m2_n4_251226_025640,pop_6_op_m1_n9_251226_113847,0.34953153,50380.5
431,696,pop_14_op_e1_n16_251227_125901,pop_17_op_m1_n16_251228_005726,0.7627494,461770.25
269,1215,pop_12_op_e1_n11_251227_060501,pop_5_op_m1_n11_251226_082330,0.6421783,174455.5
865,1026,pop_19_op_m2_n17_251228_083956,pop_2_op_m2_n9_251225_235254,0.70683646,282401.25
21,714,pop_0_op_e2_n13_251225_162047,pop_17_op_m2_n16_251228_014656,0.60491276,417654.5
787,1390,pop_18_op_m2_n13_251228_051251,pop_7_op_m2_n17_251226_154343,0.4861375,82691.75
604,885,pop_16_op_e2_n19_251227_203430,pop_1_op_e1_n17_251225_183903,0.67798907,235165.0
58,1183,pop_0_op_i1_n3_251225_145628,pop_5_op_e1_n16_251226_064644,0.8908518,33743.0
217,1146,pop_11_op_e2_n18_251227_033505,pop_4_op_m1_n16_251226_051356,0.78246814,214616.25
