i,j,heuristic_i,heuristic_j,distance_struct,distance_perf
2109,2325,pop_15_op_m2_n2_250821_235959,pop_18_op_m1_n7_250822_030838,0.26138356,0.058929995
1723,3369,pop_10_op_m1_n9_250821_200217,pop_11_op_m2_n5_250825_195041,0.82819396,0.023869991
363,848,pop_13_op_e2_n14_250819_003818,pop_19_op_m1_n18_250820_002722,0.61411005,0.38942
2366,4306,pop_19_op_e1_n9_250822_032916,pop_5_op_m1_n15_250825_144407,0.7340463,6.4640703
100,3631,pop_0_op_m2_n19_250815_160637,pop_15_op_e2_n14_250826_001255,0.7253242,0.50025
204,2992,pop_11_op_e1_n9_250818_162321,pop_8_op_m1_n14_250821_183518,0.9021984,0.007490009
429,1870,pop_14_op_e1_n2_250819_032631,pop_12_op_m1_n5_250821_213956,0.910608,7.33911
751,3823,pop_18_op_e2_n2_250819_193750,pop_18_op_e1_n1_251114_120931,0.8438832,8.22352
1623,2534,pop_0_op_i1_n7_250821_120940,pop_2_op_e2_n8_250821_141855,0.19478525,8.2363405
2060,4346,pop_15_op_e2_n10_250821_233607,pop_6_op_e1_n16_250825_150109,0.781588,8.58619
2093,4211,pop_15_op_m1_n6_250821_235057,pop_4_op_e2_n16_250825_134525,0.90681887,0.83515
479,1055,pop_14_op_m2_n11_250819_061049,pop_3_op_e2_n2_250816_111346,0.69453156,0.84696996
428,4605,pop_14_op_e1_n1_250819_032631,pop_9_op_e2_n8_250825_173450,0.9524438,2.88954
2577,2951,pop_3_op_e1_n11_250821_144345,pop_8_op_e1_n0_250821_181016,0.39896652,0.17341003
2573,4126,pop_2_op_m2_n8_250821_143855,pop_3_op_e1_n8_250825_123957,0.9013609,0.060710013
296,3681,pop_12_op_e2_n5_250818_205553,pop_15_op_m2_n8_250826_004250,0.9485927,0.54303
2251,3988,pop_17_op_m2_n0_250822_023320,pop_1_op_e2_n5_250825_111844,0.8459171,6.77932
1233,3846,pop_5_op_m1_n9_250817_100054,pop_18_op_e2_n8_251114_122501,0.93237406,2.13631
1286,2461,pop_6_op_e2_n4_250817_171559,pop_1_op_m1_n12_250821_135054,0.76374173,0.07249999
2935,3369,pop_7_op_m2_n13_250821_180122,pop_11_op_m2_n5_250825_195041,0.7850294,0.03211999
767,3172,pop_18_op_m1_n17_250819_203800,pop_0_op_i1_n6_250825_095101,0.9350093,10.45618
789,3522,pop_18_op_m2_n19_250819_213621,pop_13_op_m2_n4_250825_215652,0.94549274,0.36683
3255,4359,pop_10_op_e2_n7_250825_182734,pop_6_op_e2_n11_250825_151150,0.6371059,1.9578801
1323,1647,pop_6_op_m2_n3_250817_202921,pop_0_op_m1_n9_250821_125638,0.9311888,3.0501595
315,3810,pop_12_op_m1_n5_250818_214935,pop_17_op_m2_n4_251114_115952,0.9176166,8.31542
1449,4510,pop_8_op_m1_n14_250818_061806,pop_8_op_e1_n8_250825_162511,0.90827733,7.7131696
294,2071,pop_12_op_e2_n3_250818_205553,pop_15_op_e2_n2_250821_233607,0.6745327,1.4926301
4150,4630,pop_3_op_m1_n13_250825_130546,pop_9_op_m2_n12_250825_175959,0.7922337,8.40482
2736,3150,pop_5_op_e1_n2_250821_160044,pop_0_op_i1_n14_250825_093130,0.91998386,11.903211
997,3617,pop_2_op_m1_n18_250816_042619,pop_15_op_e1_n1_250825_230244,0.94399005,7.7149
1,3531,pop_0_op_e1_n10_250815_114538,pop_14_op_e1_n12_250825_220723,0.97875684,8.28713
600,904,pop_16_op_e2_n3_250819_115329,pop_1_op_e2_n19_250815_191206,0.45971873,0.49597996
789,1691,pop_18_op_m2_n19_250819_213621,pop_10_op_e2_n15_250821_195019,0.70538956,0.79688996
2168,4301,pop_16_op_m1_n4_250822_003351,pop_5_op_m1_n10_250825_144407,0.9416032,0.56552
822,2313,pop_19_op_e2_n12_250819_232713,pop_18_op_m1_n14_250822_030838,0.8236147,1.61638
203,752,pop_11_op_e1_n8_250818_162321,pop_18_op_e2_n3_250819_193750,0.46754056,10.2997
2539,3893,pop_2_op_m1_n12_250821_142948,pop_19_op_e1_n17_251114_125527,0.8755496,0.26639998
716,4086,pop_17_op_m2_n4_250819_173837,pop_2_op_m1_n6_250825_121636,0.8633808,1.0396402
971,3454,pop_2_op_e2_n0_250816_021335,pop_13_op_e1_n0_250825_210427,0.947968,10.32725
3022,3174,pop_8_op_m2_n5_250821_184440,pop_0_op_i1_n7_250825_095101,0.9006816,10.34206
2483,4286,pop_1_op_m2_n14_250821_140257,pop_5_op_e2_n14_250825_143236,0.74818456,0.37556
2680,3460,pop_4_op_e2_n1_250821_153039,pop_13_op_e1_n15_250825_210427,0.84708625,0.98428005
1446,1703,pop_8_op_m1_n11_250818_061806,pop_10_op_e2_n8_250821_195019,0.7842282,0.16461998
3491,4496,pop_13_op_m1_n11_250825_214156,pop_8_op_e1_n12_250825_162511,0.6216891,0.56315
