i,j,heuristic_i,heuristic_j,distance_struct,distance_perf
2037,2626,pop_13_op_m2_n10_251008_233431,pop_2_op_e1_n1_251007_224815,0.52030903,1.76091
276,2429,pop_12_op_e1_n0_251005_154051,pop_18_op_m1_n3_251009_092244,0.6020342,0.86237
4545,4576,pop_6_op_e1_n0_251023_174530,pop_6_op_e2_n1_251023_180930,0.5054824,0.79152
126,3255,pop_10_op_e1_n17_251005_121244,pop_0_op_e1_n15_251017_013915,0.6303512,0.0
1119,4365,pop_3_op_m1_n3_251005_004701,pop_3_op_m1_n9_251022_062215,0.7212829,0.0
290,1594,pop_12_op_e1_n4_251005_154051,pop_9_op_m1_n4_251005_112005,0.8040231,0.70653
3517,4551,pop_11_op_m2_n6_251024_025715,pop_6_op_e1_n15_251023_174530,0.62926203,1.32442
1492,3293,pop_8_op_e2_n19_251005_091107,pop_0_op_i1_n11_251016_142943,0.9263913,0.0
83,4716,pop_0_op_m1_n14_251004_194723,pop_8_op_e1_n5_251023_205917,0.6124426,0.95508003
528,2990,pop_15_op_e1_n3_251005_215714,pop_6_op_m1_n9_251008_070651,0.8363975,0.38623
79,4698,pop_0_op_m1_n10_251004_194723,pop_7_op_m2_n6_251023_203511,0.39901704,1.43785
305,1047,pop_12_op_e2_n18_251005_160612,pop_2_op_m2_n10_251004_233101,0.77571124,0.98064005
4261,4340,pop_2_op_e2_n5_251020_044528,pop_3_op_e2_n4_251021_192212,0.55794144,0.017780066
185,3168,pop_10_op_m2_n18_251005_132908,pop_8_op_m2_n8_251008_112303,0.6672404,0.45740998
2341,3654,pop_17_op_m1_n14_251009_071749,pop_13_op_m1_n4_251024_054456,0.5988412,0.5145099
1932,3002,pop_12_op_e2_n6_251008_192557,pop_6_op_m2_n1_251008_073409,0.5005782,0.78021
454,1486,pop_14_op_e1_n9_251005_200841,pop_8_op_e2_n13_251005_091107,0.7464111,1.23531
1388,3895,pop_7_op_e1_n14_251005_065816,pop_16_op_m2_n0_251024_105213,0.6118259,0.83145
2306,3536,pop_17_op_e1_n19_251009_061755,pop_12_op_e1_n5_251024_032137,0.52887684,0.23719001
2589,4553,pop_1_op_m1_n4_251007_215716,pop_6_op_e1_n17_251023_174530,0.6795366,0.24888992
3548,4325,pop_12_op_e2_n16_251024_034506,pop_3_op_e1_n9_251021_090929,0.77953285,1.58714
1268,4649,pop_5_op_m1_n13_251005_041917,pop_7_op_e2_n15_251023_194652,0.6321324,0.18692005
2867,4308,pop_5_op_e1_n6_251008_041943,pop_3_op_e1_n11_251021_090929,0.6510377,0.96218
2067,3334,pop_14_op_e1_n1_251009_000518,pop_0_op_m1_n17_251017_184642,0.519258,1.63115
61,3418,pop_0_op_i1_n1_251004_181821,pop_10_op_m1_n6_251024_010057,0.72205913,1.75542
1284,4351,pop_5_op_m2_n0_251005_044551,pop_3_op_m1_n14_251022_062215,0.8191619,0.79152
3863,4818,pop_16_op_e2_n16_251024_100419,pop_9_op_e2_n9_251023_225835,0.2667006,0.40999
420,2956,pop_13_op_m2_n14_251005_194129,pop_6_op_e2_n14_251008_063903,0.6702277,1.10859
1272,2139,pop_5_op_m1_n17_251005_041917,pop_15_op_e1_n12_251009_021028,0.8579304,0.6263299
3051,3819,pop_7_op_m1_n0_251008_085951,pop_15_op_m2_n12_251024_091905,0.4936741,0.17373002
1346,3931,pop_6_op_m1_n12_251005_060356,pop_17_op_e1_n6_251024_111623,0.81045276,0.86825
758,3023,pop_18_op_e1_n14_251006_031442,pop_7_op_e1_n2_251008_080228,0.7751181,0.0
2306,4457,pop_17_op_e1_n19_251009_061755,pop_4_op_m2_n1_251023_154845,0.7481855,0.34599996
1563,1600,pop_9_op_e2_n12_251005_105346,pop_9_op_m2_n0_251005_114535,0.30651215,0.48865998
1426,4739,pop_7_op_m1_n12_251005_075243,pop_8_op_e2_n8_251023_212218,0.641464,0.057290077
309,1736,pop_12_op_e2_n3_251005_160612,pop_10_op_e1_n0_251008_135036,0.8185363,0.80574
3262,3680,pop_0_op_e1_n3_251017_013915,pop_14_op_e1_n0_251024_063309,0.79078525,1.7438099
1002,1020,pop_2_op_e1_n4_251004_221213,pop_2_op_e2_n4_251004_223826,0.7358171,0.15675998
1081,2637,pop_3_op_e1_n5_251004_235708,pop_2_op_e2_n11_251007_231500,0.81606776,0.0053300858
365,750,pop_13_op_e1_n18_251005_172726,pop_17_op_m2_n7_251006_024659,0.28534707,0.2840501
497,713,pop_14_op_m2_n11_251005_212934,pop_17_op_m1_n0_251006_022111,0.5859533,0.91260993
601,3733,pop_16_op_e1_n15_251005_234007,pop_14_op_m1_n4_251024_071958,0.6926851,1.7523401
1863,4045,pop_11_op_m1_n16_251008_175342,pop_18_op_m1_n6_251024_133718,0.5296796,1.5197699
3855,4499,pop_16_op_e1_n9_251024_094316,pop_5_op_e2_n4_251023_163527,0.8665055,1.0850902
2840,3583,pop_4_op_m2_n18_251008_035253,pop_12_op_m2_n11_251024_043321,0.6161768,0.24370998
67,4842,pop_0_op_i1_n4_251004_181821,pop_9_op_m2_n13_251023_234634,0.9218372,1.24604
668,4199,pop_16_op_m2_n4_251006_005907,pop_1_op_m1_n3_251019_050218,0.71882737,0.61265993
2923,4540,pop_5_op_m2_n2_251008_054321,pop_5_op_m2_n5_251023_172151,0.6687782,0.87424004
2530,4333,pop_19_op_m2_n4_251009_115625,pop_3_op_e2_n16_251021_192212,0.8087175,0.69631994
2111,4602,pop_14_op_m1_n5_251009_010748,pop_6_op_m1_n8_251023_183346,0.6636057,0.14393008
657,1990,pop_16_op_m2_n12_251006_005907,pop_13_op_e1_n4_251008_220023,0.5337764,0.41805995
647,1749,pop_16_op_m1_n3_251006_003147,pop_10_op_e1_n3_251008_135036,0.5779284,1.6272299
2481,3788,pop_19_op_e2_n14_251009_105744,pop_15_op_e2_n2_251024_083105,0.6077001,0.9133899
51,2560,pop_0_op_i1_n14_251004_184152,pop_1_op_e2_n14_251007_213131,0.84510684,0.17853999
464,3482,pop_14_op_e2_n18_251005_203509,pop_11_op_m1_n10_251024_023315,0.65547234,0.81977
2582,3380,pop_1_op_m1_n16_251007_215716,pop_10_op_e1_n5_251024_001106,0.76001716,1.5135
2735,4078,pop_3_op_m1_n13_251008_013345,pop_19_op_e1_n18_251024_142543,0.7160069,0.018599987
1540,4180,pop_8_op_m2_n9_251005_100047,pop_1_op_e2_n4_251018_185448,0.70172316,0.68906
349,4733,pop_12_op_m2_n3_251005_165945,pop_8_op_e2_n2_251023_212218,0.7289943,0.5993
1301,2320,pop_5_op_m2_n7_251005_044551,pop_17_op_e2_n13_251009_064717,0.6037342,0.40468
1604,3145,pop_9_op_m2_n13_251005_114535,pop_8_op_m1_n5_251008_105355,0.49258527,0.62713003
966,3969,pop_1_op_m1_n8_251004_212208,pop_17_op_m1_n8_251024_120509,0.5408387,1.10882
1091,1297,pop_3_op_e2_n14_251005_002228,pop_5_op_m2_n3_251005_044551,0.6656123,0.04828
2132,3620,pop_14_op_m2_n6_251009_013943,pop_13_op_e2_n0_251024_052024,0.48479897,0.41033
4042,4824,pop_18_op_m1_n3_251024_133718,pop_9_op_m1_n15_251023_232311,0.252651,0.14420998
3927,4340,pop_17_op_e1_n2_251024_111623,pop_3_op_e2_n4_251021_192212,0.4985294,0.07656002
3925,4435,pop_17_op_e1_n19_251024_111623,pop_4_op_m1_n18_251023_152118,0.5815732,0.57664996
2194,4796,pop_15_op_m1_n8_251009_031407,pop_9_op_e1_n6_251023_223417,0.7058826,0.5145099
3193,3211,pop_9_op_e2_n12_251008_122237,pop_9_op_m1_n11_251008_125044,0.7939408,0.0
1799,3510,pop_10_op_m2_n12_251008_161733,pop_11_op_m2_n18_251024_025715,0.4663161,0.28463
1181,2120,pop_4_op_e2_n6_251005_020604,pop_14_op_m2_n13_251009_013943,0.8380488,1.22198
2246,3629,pop_16_op_e2_n19_251009_044302,pop_13_op_e2_n18_251024_052024,0.64207155,0.41959
1149,2672,pop_4_op_e1_n12_251005_013931,pop_2_op_m1_n9_251007_234356,0.8266336,0.45587003
1811,2928,pop_10_op_m2_n5_251008_161733,pop_5_op_m2_n7_251008_054321,0.623959,1.57311
2298,2782,pop_17_op_e1_n11_251009_061755,pop_4_op_e1_n1_251008_022932,0.86707467,0.36023998
2141,3238,pop_15_op_e1_n14_251009_021028,pop_9_op_m2_n18_251008_132009,0.62480515,1.69941
297,2046,pop_12_op_e2_n10_251005_160612,pop_13_op_m2_n19_251008_233431,0.76559347,0.53522
3594,3732,pop_12_op_m2_n3_251024_043321,pop_14_op_m1_n3_251024_071958,0.009284694,1.42022
347,4374,pop_12_op_m2_n1_251005_165945,pop_3_op_m2_n17_251022_150641,0.66995,0.85967004
3642,3664,pop_13_op_m1_n11_251024_054456,pop_13_op_m2_n13_251024_060908,0.2957025,0.93867004
3944,4535,pop_17_op_e2_n2_251024_114020,pop_5_op_m2_n19_251023_172151,0.6820047,0.7712301
2097,4302,pop_14_op_m1_n10_251009_010748,pop_2_op_m2_n6_251021_020748,0.5374441,0.27479005
271,4482,pop_11_op_m2_n5_251005_151420,pop_5_op_e1_n6_251023_161129,0.7301926,0.64513993
1300,1697,pop_5_op_m2_n6_251005_044551,pop_0_op_m1_n10_251007_201332,0.65237814,0.35774994
225,4148,pop_11_op_e2_n18_251005_142132,pop_1_op_e1_n11_251018_094429,0.7402876,1.33477
675,3174,pop_17_op_e1_n10_251006_012645,pop_9_op_e1_n13_251008_115314,0.6593749,0.08169997
438,2657,pop_14_op_e1_n12_251005_200841,pop_2_op_m1_n13_251007_234356,0.552678,0.92919004
6,1361,pop_0_op_e1_n15_251004_190649,pop_6_op_m1_n8_251005_060356,0.7340561,0.0
1572,3412,pop_9_op_e2_n2_251005_105346,pop_10_op_m1_n18_251024_010057,0.6829468,0.26127994
550,2888,pop_15_op_e2_n5_251005_222244,pop_5_op_e2_n7_251008_044644,0.7753007,0.64106
550,2947,pop_15_op_e2_n5_251005_222244,pop_6_op_e1_n6_251008_061122,0.7153218,1.05835
799,3649,pop_18_op_m1_n18_251006_040930,pop_13_op_m1_n18_251024_054456,0.5936164,0.29970998
800,2614,pop_18_op_m1_n19_251006_040930,pop_1_op_m2_n9_251007_222155,0.59618,0.10537982
3351,3842,pop_0_op_m2_n14_251018_025242,pop_16_op_e1_n15_251024_094316,0.43037874,0.13635993
1399,2849,pop_7_op_e1_n6_251005_065816,pop_4_op_m2_n8_251008_035253,0.7941282,0.05487013
2040,3973,pop_13_op_m2_n13_251008_233431,pop_17_op_m2_n11_251024_122850,0.60943604,1.02172
1904,2252,pop_12_op_e1_n17_251008_185635,pop_16_op_e2_n6_251009_044302,0.38196737,0.57419
2471,3580,pop_19_op_e1_n5_251009_102606,pop_12_op_m1_n9_251024_040907,0.50969815,1.20258
2573,2673,pop_1_op_e2_n8_251007_213131,pop_2_op_m2_n0_251008_001242,0.6539457,0.0
1621,3513,pop_0_op_e1_n10_251007_192850,pop_11_op_m2_n2_251024_025715,0.8066021,1.7584
1083,4754,pop_3_op_e1_n7_251004_235708,pop_8_op_m1_n4_251023_214610,0.5571348,1.64035
821,4830,pop_18_op_m2_n1_251006_043605,pop_9_op_m1_n2_251023_232311,0.71203274,0.39100003
