cb_similarity,cb_d_perf
0.9768149068912222,0.54625
0.9558666413465633,0.0800799999999999
0.9558666413465633,0.2321499999999999
0.9768149068912222,0.1161899999999999
0.9768149068912222,0.1161899999999999
1.0,0.0
1.0,0.0
0.7625372093220584,0.0
0.61859690813451,0.07183
0.7963142847627345,0.01905
0.930685239559218,0.02
0.9178817453943295,0.0
0.8920375028338596,0.01428
0.7508402269175984,0.0
0.6940875664036119,0.0
0.7352346769618896,0.4749
0.7109298888159055,0.0
0.6890255013579742,0.0
0.7321349117484509,7.53932
0.6148422969152231,0.35414
1.0,0.0
1.0,0.0
1.0,0.0
0.8921870620537911,0.0
1.0,0.0
0.8970255887967564,7.627499999999999
0.8493885450100369,0.28845
0.6737932381207826,0.44014
0.7796840865226368,9.96083
0.5711397348312575,0.4143300000000001
0.7636938727723707,0.07354
0.6470301433890193,0.02104
0.6311471440622021,10.34613
0.7375087906239695,2.86795
0.7568574013177354,8.46613
0.4037480238017087,13.81353
0.3136568198698554,13.59224
0.4157822179231345,13.59423
0.3802149358444622,12.96472
0.3980934311045887,13.61074
0.49980256652701116,0.1050499999999999
0.4765551075119069,0.15119
0.5509850588163986,0.24794
0.5417820637760065,0.2094099999999999
0.5449234728053007,0.33672
1.0,0.0
0.7813198296549447,0.0583300000000002
0.5550772359285743,0.8290099999999998
0.5550772359285743,0.8290099999999998
0.7609647931092093,5.54429
