cb_similarity,cb_d_perf
0.2947038224863531,0.5585
0.4203415422619048,0.00232
0.4418777125784731,0.0982
0.42658638862034426,0.00312
0.4190720425038581,0.00252
0.4142449743271984,0.15947
0.4122014324607659,0.43033
0.3682170516251009,1.31331
0.3974027742509235,0.45407
0.3692170746221678,0.45699
0.38034882278802806,1.4754999999999998
0.5690673927186864,0.0
0.38389100110829877,0.0137899999999999
0.33757373071094254,0.0108699999999999
0.4333458173752651,1.4754999999999998
0.6892499478290395,0.00936
0.5492124960434566,0.85029
0.651327965360637,0.0927699999999999
0.6103752252189618,0.0088499999999999
0.5580990702177391,0.0119699999999999
0.6038219401668278,0.17205
0.6282514852684563,0.18624
0.297074785246221,1.30103
0.32120993016616006,0.09981
0.26181760135071364,0.65077
0.40519735037074034,1.37116
0.4147799279810801,1.37116
0.40947282009745334,1.37116
0.41603815092172325,1.37116
0.4183523293322263,0.00362
0.4830592138963855,1.10313
0.4753704416918699,0.46554
0.5863266889181147,0.96982
0.46794296814713165,0.10484
0.4896887911425648,0.00091
0.36989160909578134,1.4754999999999998
0.31343323429625936,1.4754999999999998
0.31935386456033255,1.4527599999999998
0.4686851347016092,1.4754999999999998
0.3978360758144538,1.45719
0.47715623967260656,0.32921
0.6654238835220939,0.0296799999999999
0.6250667310898144,0.03109
0.5474013841932821,0.0328
0.542932449234993,0.12808
0.5572063240068306,0.26049
0.4407941439977505,0.8738300000000001
0.49973505016530795,0.0759599999999999
0.6036577737474105,0.27598
0.4706587595802795,0.25767
