cb_similarity,cb_d_perf
0.9641204718537915,44677.0
0.9192424211621485,37705.10000000009
0.9601562008667989,28487.30000000028
0.948748825360162,29603.80000000028
0.9543958129068283,47255.80000000028
0.6566773029116537,103820.8999999999
0.6800570168998761,145070.69999999972
0.7053497357947256,118717.19999999972
0.7221297571517563,37901.0
0.6627968211077138,13495.0
0.9122642789453532,43897.39999999991
0.9060290908616159,9476.200000000186
0.835363211832059,7680.200000000186
0.8096886699380597,112366.6000000001
0.7343102188379191,19261.399999999907
0.6177865184547727,27241.399999999907
0.6539076869249675,98929.1000000001
0.5987665495982498,51565.30000000028
0.5766220857732254,161729.8999999999
0.5871662389079573,44349.200000000186
0.7982805674183671,13012.799999999814
0.7403088814129757,92444.6000000001
0.7558504839123545,113528.0
0.7370415871476235,282479.8999999999
0.7486616809605606,30124.600000000093
0.7258557066577522,41170.09999999963
0.3944962726312289,4254.599999999628
0.28440968722034454,163076.5
0.3597699904103018,214098.0
0.2980505818794482,86247.19999999972
0.630796729413176,54255.700000000186
0.7661678453684411,55548.39999999991
0.5959335506779305,14240.700000000186
0.6339361838307086,3806.2999999998137
0.5864355303838724,43017.39999999991
0.23394320647468914,4778.800000000279
0.32949080779185724,97519.5
0.41131854168819293,36789.200000000186
0.27965799666136004,40010.29999999981
0.33654457176108477,123036.3999999999
0.377164398488646,84562.1000000001
0.43355067612701004,62482.89999999991
0.33027154839454176,131407.2000000002
0.36736484639676337,317694.2000000002
0.3296636750361608,171974.5
0.36609634328681806,7181.0
0.40292093059733713,217623.5
0.3903709696193898,140780.5
0.39769604450296103,121767.1000000001
0.3752431374398876,32148.599999999627
