cb_similarity,cb_d_perf
0.8726005840686322,0.31409
0.9082017685363062,0.5896399999999999
0.8596546341367917,0.5896399999999999
0.8679799062842659,0.32026
0.9099469011034174,0.5896399999999999
0.7461183486800874,0.0494499999999999
0.6051306384719357,0.31261
0.6039830242823896,0.0592099999999999
0.8519165738741877,0.46845
0.8308926501146061,0.0177799999999999
0.9070330421639717,0.33938
0.8834469376865373,0.62924
0.9361204435331243,0.00289
0.8253034088929521,0.59948
0.9091579038173536,0.0
0.9491038852959316,0.2654699999999999
0.9112546049480514,0.2654699999999999
0.913998054933625,0.27691
0.8610330192316844,0.3607599999999999
0.8065231424223422,0.0891699999999999
0.8971549834666255,0.78389
0.8601179464295885,0.5305599999999999
0.8454033241112224,0.2589899999999998
0.4417925895931496,0.5305599999999999
0.4382996601522804,0.5305599999999999
0.8863072344149852,0.0
0.9237523871421401,0.0
1.0,0.0
0.7899280985623817,0.0
1.0,0.0
0.7710924104976387,0.0367699999999999
0.8052023360252525,0.0
0.7897915179187318,0.4333899999999999
0.7903231797284079,0.0245299999999999
0.7734309835885416,0.6150100000000001
0.7277328585040816,0.0
0.684659569922099,0.0
0.7295354086811823,0.0
0.7267260724710662,0.0
0.7295354086811823,0.0
0.4621325850697977,0.62582
0.42050104481957873,0.1896399999999998
0.4545781172003155,0.62582
0.42917984517123964,0.36985
0.6122375380940897,0.62582
0.6880521094907568,0.0
0.3715482798846341,0.0881399999999996
0.6075832102525431,0.0881399999999996
0.5624829897961503,0.2693799999999999
0.6754162087999851,0.1567600000000002
