i,j,heuristic_i,heuristic_j,distance_struct,distance_perf
716,4086,pop_17_op_m2_n4_250819_173837,pop_2_op_m1_n6_250825_121636,0.8,1.0396402
971,3454,pop_2_op_e2_n0_250816_021335,pop_13_op_e1_n0_250825_210427,0.79746836,10.32725
3022,3174,pop_8_op_m2_n5_250821_184440,pop_0_op_i1_n7_250825_095101,0.6511628,10.34206
2483,4286,pop_1_op_m2_n14_250821_140257,pop_5_op_e2_n14_250825_143236,0.7671233,0.37556
2680,3460,pop_4_op_e2_n1_250821_153039,pop_13_op_e1_n15_250825_210427,0.734375,0.98428005
1446,1703,pop_8_op_m1_n11_250818_061806,pop_10_op_e2_n8_250821_195019,0.6315789,0.16461998
3491,4496,pop_13_op_m1_n11_250825_214156,pop_8_op_e1_n12_250825_162511,0.61538464,0.56315
1909,4093,pop_13_op_e1_n7_250821_215840,pop_2_op_m2_n12_250825_122724,0.75,7.4762297
1514,3373,pop_9_op_e2_n5_250818_085443,pop_11_op_m2_n9_250825_195041,0.8072289,0.05546999
4196,4208,pop_4_op_e1_n1_250825_133210,pop_4_op_e2_n12_250825_134525,0.5121951,2.9994702
513,1721,pop_15_op_e1_n9_250819_070658,pop_10_op_m1_n7_250821_200217,0.78205127,1.1001201
354,3053,pop_13_op_e1_n6_250818_234141,pop_9_op_e2_n19_250821_190214,0.7878788,0.045569986
2182,4644,pop_16_op_m2_n17_250822_004123,pop_9_op_m2_n7_250825_175959,0.77011496,3.07547
2489,3697,pop_1_op_m2_n1_250821_140257,pop_16_op_e1_n9_251114_103613,0.6964286,0.3712
880,4376,pop_1_op_e1_n10_250815_173701,pop_6_op_m1_n0_250825_151929,0.6481481,0.039789975
1618,2151,pop_0_op_i1_n5_250821_114751,pop_16_op_e2_n5_250822_002000,0.64705884,10.41447
603,4166,pop_16_op_e2_n6_250819_115329,pop_3_op_m2_n0_250825_132000,0.8487395,8.36047
3190,4362,pop_0_op_m1_n1_250825_104303,pop_6_op_e2_n14_250825_151150,0.6545454,8.34418
2210,2891,pop_17_op_e1_n7_250822_005416,pop_7_op_e2_n0_250821_173739,0.75,2.23629
1534,3274,pop_9_op_m1_n5_250818_104712,pop_10_op_m1_n6_250825_184151,0.82051283,9.30489
1054,2429,pop_3_op_e2_n1_250816_111346,pop_1_op_e1_n16_250821_132746,0.7777778,0.18631
1472,2623,pop_8_op_m2_n1_250818_071502,pop_3_op_m1_n19_250821_150204,0.71428573,4.9672003
