i,j,heuristic_i,heuristic_j,distance_struct,distance_perf
685,3908,pop_17_op_m1_n19_251224_184025,pop_2_op_e2_n5_251225_024454,0.7787611,1.15897
928,3304,pop_1_op_m2_n12_251224_140724,pop_12_op_m2_n3_251225_055507,0.7916667,0.90543
2891,3036,pop_8_op_m1_n9_251224_215632,pop_0_op_i1_n19_251225_020644,0.7848101,0.095580004
2375,4100,pop_1_op_m1_n7_251224_194832,pop_5_op_e1_n4_251225_032818,0.7326733,0.62763
2564,3310,pop_4_op_e2_n13_251224_203033,pop_12_op_m2_n9_251225_055507,0.7906977,0.009160001
1383,1629,pop_8_op_m1_n16_251224_161205,pop_10_op_e2_n6_251224_223125,0.86466163,1.46232
3339,4300,pop_13_op_e2_n2_251225_060450,pop_8_op_e1_n0_251225_042246,0.6545454,0.47741
1826,3915,pop_13_op_e2_n0_251224_233730,pop_2_op_m1_n11_251225_024720,0.7835821,0.56525004
1448,3227,pop_9_op_e2_n8_251224_162247,pop_11_op_m2_n1_251225_053606,0.76258993,0.7547
4014,4025,pop_3_op_m2_n7_251225_030636,pop_4_op_e1_n3_251225_031040,0.7669173,0.75259
491,1646,pop_15_op_e1_n15_251224_175346,pop_10_op_m1_n4_251224_223726,0.73376626,1.38675
339,2920,pop_13_op_e1_n11_251224_172042,pop_9_op_e1_n1_251224_220604,0.7517241,1.2254801
2087,4442,pop_16_op_m2_n13_251225_005606,pop_9_op_m2_n7_251225_045729,0.80597013,0.4767
2381,3536,pop_1_op_m2_n12_251224_195142,pop_15_op_m2_n9_251225_065356,0.73770493,0.026870001
842,4186,pop_19_op_m1_n4_251224_191406,pop_6_op_e2_n3_251225_034959,0.7651515,0.1807
1548,2057,pop_0_op_i1_n5_251224_192433,pop_16_op_e2_n1_251225_004450,0.81632656,0.71376
577,3985,pop_16_op_e1_n8_251224_181432,pop_3_op_m1_n16_251225_030303,0.7761194,0.28343
3051,4172,pop_0_op_i1_n8_251225_020644,pop_6_op_e1_n7_251225_034519,0.7862069,0.18481994
2114,2766,pop_17_op_e1_n3_251225_010046,pop_7_op_e1_n12_251224_212213,0.66433567,0.03914
1467,3131,pop_9_op_m2_n10_251224_162951,pop_10_op_m1_n19_251225_051224,0.75,0.84545
1008,2323,pop_2_op_m2_n17_251224_142037,pop_1_op_e1_n0_251224_194128,0.8090909,0.59181
