i,j,heuristic_i,heuristic_j,distance_struct,distance_perf
1970,4157,pop_15_op_e1_n3_251225_001559,pop_5_op_m2_n8_251225_034132,0.014787649,0.037830003
2002,4028,pop_15_op_m1_n19_251225_002824,pop_4_op_e1_n6_251225_031040,0.050992083,0.0020099878
458,1010,pop_14_op_m1_n1_251224_174534,pop_2_op_m2_n19_251224_142037,0.01215981,0.18634
409,4405,pop_13_op_m2_n6_251224_173322,pop_9_op_m1_n0_251225_045306,0.017243208,0.03049
2465,2822,pop_2_op_m2_n8_251224_200551,pop_7_op_m2_n14_251224_213900,0.028315663,0.00251
2461,3946,pop_2_op_m2_n4_251224_200551,pop_2_op_m2_n4_251225_025112,0.02730708,1.48194
283,3521,pop_12_op_e2_n15_251224_170832,pop_15_op_m2_n13_251225_065356,0.026237013,0.006339997
2153,3815,pop_17_op_m1_n6_251225_011255,pop_1_op_e1_n11_251225_022428,0.019286282,0.02395
1179,3678,pop_5_op_m1_n1_251224_153229,pop_18_op_e1_n3_251225_073318,0.041523185,0.030580003
1230,2354,pop_6_op_e2_n17_251224_154252,pop_1_op_e2_n5_251224_194452,0.03240608,1.38303
2807,3222,pop_7_op_m1_n19_251224_213407,pop_11_op_m2_n15_251225_053606,0.011219807,0.33334
734,3034,pop_18_op_e2_n10_251224_185247,pop_0_op_i1_n18_251225_020644,0.015833387,0.87522995
755,3369,pop_18_op_m1_n13_251224_185705,pop_13_op_m2_n13_251225_061422,0.005469384,0.36583
3113,4170,pop_10_op_e2_n17_251225_050712,pop_6_op_e1_n5_251225_034519,0.011907612,1.50126
1265,1575,pop_6_op_m2_n16_251224_154925,pop_0_op_m1_n9_251224_193551,0.028900186,0.032799996
301,3644,pop_12_op_m1_n13_251224_171244,pop_17_op_m1_n8_251225_072624,0.03517648,0.028670002
1386,4314,pop_8_op_m1_n19_251224_161205,pop_8_op_e1_n7_251225_042246,0.015434732,0.017409999
281,1981,pop_12_op_e2_n13_251224_170832,pop_15_op_e2_n17_251225_002222,0.0056006555,0.16792
3969,4429,pop_3_op_e2_n17_251225_025848,pop_9_op_m2_n13_251225_045729,0.0071982043,1.47268
2617,3013,pop_5_op_e1_n10_251224_204312,pop_0_op_e2_n4_251225_021428,0.015631795,0.02747
953,3459,pop_2_op_e1_n19_251224_141021,pop_14_op_m2_n8_251225_063404,0.022168102,0.083909996
1,3377,pop_0_op_e1_n10_251224_134701,pop_13_op_m2_n2_251225_061422,0.016615814,0.21400002
574,865,pop_16_op_e1_n5_251224_181432,pop_19_op_m2_n7_251224_191815,0.0069582993,0.039440002
755,1617,pop_18_op_m1_n13_251224_185705,pop_10_op_e2_n12_251224_223125,0.01279198,0.02897
2074,4114,pop_16_op_m1_n1_251225_005059,pop_5_op_e2_n19_251225_033249,0.016411584,0.43203
786,2212,pop_18_op_m2_n5_251224_190103,pop_18_op_m1_n13_251225_013420,0.025576908,0.028270002
194,719,pop_11_op_e1_n3_251224_164829,pop_18_op_e1_n14_251224_184830,0.005975166,0.32106
2429,3724,pop_2_op_e2_n8_251224_195847,pop_18_op_m2_n13_251225_074825,0.021535927,0.0029199999
685,3908,pop_17_op_m1_n19_251224_184025,pop_2_op_e2_n5_251225_024454,0.006580928,1.15897
928,3304,pop_1_op_m2_n12_251224_140724,pop_12_op_m2_n3_251225_055507,0.0067245313,0.90543
2891,3036,pop_8_op_m1_n9_251224_215632,pop_0_op_i1_n19_251225_020644,0.03795069,0.095580004
2375,4100,pop_1_op_m1_n7_251224_194832,pop_5_op_e1_n4_251225_032818,0.072896115,0.62763
2564,3310,pop_4_op_e2_n13_251224_203033,pop_12_op_m2_n9_251225_055507,0.036053013,0.009160001
